Round,Heat,Sail Number,Skipper Name,Club,Observer
Q6,Heat 1,65,Vince Zweers,Illawarra Radio Yacht Club,
Q6,Heat 1,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q6,Heat 1,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q6,Heat 1,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q6,Heat 1,78,Brent Cowan,Pegasus Radio Sailing Club,
Q6,Heat 1,168,Lester Pearson,Illawarra Radio Yacht Club,
Q6,Heat 1,09,Daniel Bergan,Paradise Radio Yacht Club,
Q6,Heat 1,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q6,Heat 1,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q6,Heat 1,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q6,Heat 1,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q6,Heat 1,223,Philip Wells,Eagleby Radio Yacht Club,
Q6,Heat 1,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q6,Heat 1,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q6,Heat 1,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q6,Heat 1,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q6,Heat 1,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q6,Heat 2,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q6,Heat 2,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q6,Heat 2,23,Philip Pryde,NZL Northern Maritime Model Society,
Q6,Heat 2,36,Andrew Crocker,Albert Park Model Yacht Club,
Q6,Heat 2,50,Grant Hudson,Redlands Radio Sailing Club,
Q6,Heat 2,135,Graham Cowling,Paradise Radio Yacht Club,
Q6,Heat 2,41,Robert Mews,Champion Lakes,
Q6,Heat 2,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q6,Heat 2,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q6,Heat 2,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q6,Heat 2,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
